@relation thread_length

@attribute threadID numeric
@attribute sentiment1 numeric
@attribute sentiment2 numeric
@attribute binnedTimeDiff1 numeric
@attribute binnedTimeDiff2 numeric
@attribute timeDiff1 numeric
@attribute timeDiff2 numeric
@attribute arrivalPattern1 numeric
@attribute arrivalPattern2 numeric
@attribute posterInteractions1 numeric
@attribute posterInteractions2 numeric
@attribute mutualInteractions1 numeric
@attribute mutualInteractions2 numeric
@attribute numWords1 numeric
@attribute numWords2 numeric
@attribute question1 numeric
@attribute question2 numeric
@attribute exclaim1 numeric
@attribute exclaim2 numeric
@attribute onThreadTopic1 numeric
@attribute onThreadTopic2 numeric
@attribute overlapPrevious1 numeric
@attribute overlapPrevious2 numeric
@attribute overlapDistance1 numeric
@attribute overlapDistance2 numeric
@attribute timeliness1 numeric
@attribute timeliness2 numeric
@attribute lengthiness1 numeric
@attribute lengthiness2 numeric
@attribute formatPunctuation1 numeric
@attribute formatPunctuation2 numeric
@attribute formatEmoticons1 numeric
@attribute formatEmoticons2 numeric
@attribute formatCapitals1 numeric
@attribute formatCapitals2 numeric
@attribute averageSentiment numeric
@attribute participants numeric
@attribute totalLinks numeric
@attribute threadLength numeric

@data
13964,1,-1,4,6,660,1709,1,12,2,1,967,9,23,55,0,0,0,0,0.32,0.3167,0.32,0.3167,1,2,0.1289,0.2044,0.2334,0.5602,1,0,0,0,0,0,0,3,5,10
13965,0,0,2,2,66,100,1,12,5,3,860,87,26,2,0,0,0,0,0.3529,0,0.3529,0,1,0,0.2929,0.1454,1.5224,0.0896,0,0,0,0,0,0,0.3333,3,18,9
13966,2,0,4,6,384,2206,1,12,1,1,72,4,108,5,1,1,0,0,0.2698,0.2857,0.2698,0.2857,1,2,0.6628,3.1389,2.2367,0.1243,0,0,0,0,0,0,0,3,3,6
13967,0,1,1,4,51,519,1,12,4,4,181,497,17,12,1,1,0,1,0.5263,0.5,0.5263,0.5,1,2,0.0745,0.6721,0.2451,0.1806,0,0,0,0,0,0,0.3333,3,12,45
13968,-2,-1,1,2,18,150,1,12,1,1,91,61,50,32,0,0,0,0,0.5185,0.5143,0.5185,0.5143,1,2,0.1112,0.7907,0.5673,0.3677,0,0,0,0,0,0,-1,3,3,181
13969,0,0,3,3,349,358,1,12,2,5,16,248,5,5,0,0,0,0,0.1667,0.5,0.1667,0.5,1,2,1.8803,0.0514,0.2712,0.2712,0,0,0,0,0,0,0.6667,3,8,16
13971,1,1,3,3,249,310,1,12,1,1,72,94,15,67,1,0,0,0,0.4118,0.4156,0.4118,0.4156,1,2,0.2896,0.07,0.4493,2.0352,0,0,0,0,1,0,1,3,3,36
13972,-1,-1,4,5,521,1233,1,12,2,7,401,294,59,211,0,0,0,0,0.4058,0.2336,0.4058,0.3648,1,1,0.4291,0.5864,0.6974,2.4661,0,0,0,0,1,0,-1.3333,3,21,52
13973,-2,1,3,3,180,185,1,12,1,1,34,44,3,22,0,0,1,0,0,0.1667,0,0.1667,0,2,1.1814,0.0308,0.1683,0.808,0,0,0,0,0,0,-0.3333,3,7,27
13974,-1,1,4,5,701,997,1,12,1,1,3,7,90,87,0,0,0,0,0.3861,0.4808,0.3861,0.4808,1,2,3.9217,1.6488,1.2292,1.2657,0,0,0,0,0,0,-0.3333,3,3,6
13975,1,0,7,7,3050,3053,1,12,1,1,54,13,20,74,1,1,0,0,0.3478,0.1975,0.3478,0.1975,1,2,6.0384,0.0061,0.4654,1.6391,0,0,0,0,0,1,0.6667,3,3,12
13977,-1,-1,1,5,20,986,1,12,1,1,66,67,57,54,0,0,0,0,0.375,0.4375,0.375,0.4375,1,2,0.0679,3.2548,0.6702,0.6702,0,0,0,0,0,0,-0.3333,3,67,8
13978,1,0,3,4,281,374,1,12,1,1,42,40,109,60,0,0,0,0,0.3798,0.5211,0.3798,0.5211,1,2,1.8688,0.6138,1.5468,0.8513,0,0,0,0,0,0,-0.3333,3,20,5
13980,0,2,2,5,148,1277,1,10,2,-1,51,-1,148,3,0,0,0,1,0.2428,0.2,0.2428,0.2,1,2,0.3495,2.6505,2.1535,0.0622,0,0,0.125,0,0,0,0.6667,2,2,3
13981,0,-1,1,2,20,63,1,12,1,1,2,2,18,11,0,1,0,0,0.35,0.4167,0.35,0.4167,1,2,0.9611,2.0389,0.3593,0.2156,1,0,0,0,1,0,-0.6667,3,4,3
13982,1,0,1,1,32,34,1,12,4,1,174,33,69,9,0,0,0,0,0.2949,0.2222,0.2949,0.3333,1,1,0.1785,0.0107,0.8239,0.0951,0,0,0,0,0,1,0.3333,3,6,39
13983,0,0,2,2,91,104,1,10,1,-1,8,-1,23,21,0,0,0,0,0.4167,0.4783,0.4167,0.4783,1,2,0.011,0.0016,0.4229,0.4053,0,0,0,0,0,0,0,2,1,16
13984,2,2,5,5,911,1057,1,12,1,1,96,105,119,30,1,0,0,0,0.4211,0.3429,0.4211,0.6286,1,1,0.9058,0.1458,1.8088,0.476,0,1,0,0,0,1,2,3,53,17
13985,0,0,5,5,1358,1368,1,12,5,5,707,93,28,9,1,0,0,0,0.3438,0.2,0.3438,0.4,1,1,2.9577,0.0214,1.2468,0.3896,0,0,0,0,0,0,0,3,16,12
13986,0,0,1,1,44,45,1,12,19,4,1313,240,1,10,1,0,0,0,0.5,0.4545,0.5,0.4545,1,2,0.1616,0.0047,0.0353,0.1941,0,0,0,0,0,0,0,3,28,48
13987,0,-1,1,2,28,68,1,10,1,-1,419,-1,53,24,0,1,0,0,0.2857,0.5152,0.2857,0.5152,1,2,0.1867,0.2677,0.9469,0.558,0,0,0,0,0,0,-0.3333,2,1,7
13988,0,1,2,2,63,79,1,12,1,1,7,4,57,84,1,0,0,1,0.3968,0.3542,0.3968,0.375,1,1,0.0341,0.0087,1.1284,1.7194,0,0,0,0,0,0,0.6667,3,3,6
13989,0,0,6,6,1604,1751,1,10,1,-1,2,-1,37,5,0,1,0,0,0.4872,0.2857,0.4872,0.2857,1,2,0.3236,0.0296,1.5476,0.2778,0,0,0,0,0,0,0,2,1,5
13991,0,0,1,1,21,24,1,12,1,4,18,780,7,20,0,0,1,0,0.2222,0.12,0.2222,0.12,1,2,0.005,0.0006,0.5625,1.5625,0,1,0,0,0,2,0,3,8,4
13992,0,-1,2,3,94,181,1,12,17,23,783,802,30,115,1,0,0,0,0.3429,0.264,0.3429,0.264,1,2,0.2372,0.2195,0.5221,1.8648,0,0,0,0,0,0,-0.3333,3,58,252
13993,0,0,2,2,76,80,1,11,1,1,11,11,12,19,0,1,0,0,0.6,0.1905,0.6,0.1905,1,2,1.6174,0.0898,0.2582,0.3615,0,0,0,0,0,0,0,2,1,12
13994,-1,1,1,1,32,55,1,12,1,1,3,3,48,52,0,0,0,0,0.2982,0.375,0.2982,0.375,1,2,0.8049,0.5545,0.8976,0.8819,0,0,0,0,0,0,0.3333,3,4,4
13995,0,-2,2,3,153,221,1,10,4,-1,468,-1,139,91,1,1,0,1,0.0909,0.2525,0.0909,0.596,1,1,1.9503,0.8507,2.0433,1.226,0,0,0,0,1,0,0,2,4,4
13996,2,-2,3,5,276,951,1,10,1,-1,46,-1,39,30,0,1,0,0,0.4043,0.2857,0.4043,0.2857,1,2,0.3302,0.8078,0.9257,0.6893,0,0,0,0,0,1,0.3333,2,1,31
13997,1,-1,2,3,80,352,1,12,1,1,1,1,27,314,1,1,0,0,0.8387,0.8289,0.8387,0.8289,1,2,0.4359,1.4813,0.1407,1.5381,0,0,0,0,1,4,-0.3333,3,3,5
13998,1,0,3,4,258,466,1,12,1,1,9,4,69,38,1,0,0,0,0.3976,0.3556,0.3976,0.4,1,1,0.9444,0.7579,1.0531,0.5709,0,0,0,0,0,1,0.6667,3,3,11
13999,-2,0,3,3,238,276,1,12,1,1,4,7,6,14,0,0,0,0,0.375,0.3571,0.375,0.3571,1,2,3.4317,0.5522,0.5079,0.8889,1,0,0,0,0,0,0,3,5,4
14000,2,-1,2,5,125,1042,1,10,2,-1,477,-1,60,164,1,0,0,0,0.5342,0.6209,0.5342,0.6209,1,2,0.2969,2.166,0.6704,1.6714,0,0,0,0,0,0,0.6667,2,2,9
14029,2,0,0,1,4,38,1,10,2,-1,968,-1,3,2,1,0,0,0,0.25,0.5,0.25,0.5,1,2,0.0044,0.0318,0.111,0.111,0,0,0,0,0,0,0.6667,2,2,46
14030,0,1,1,2,47,71,1,10,2,-1,72,-1,36,45,1,0,0,0,0.3333,0.6304,0.3333,0.6304,1,2,0.2922,0.1449,0.7821,0.8566,0,4,0,0,0,0,1,2,2,10
14032,-1,0,1,1,11,14,1,10,9,-1,594,-1,30,22,1,1,0,0,0.4848,0.4783,0.4848,0.4783,1,2,0.0267,0.007,0.5337,0.372,0,0,0,0,1,0,-0.3333,2,9,6
14033,0,0,0,1,4,11,1,12,1,1,24,116,9,35,1,1,0,0,0.5455,0.5,0.5455,0.5,1,2,0.0316,0.0403,0.1648,0.5993,0,0,0,0,0,1,0.3333,3,5,12
14139,2,3,4,4,401,675,1,12,2,1,694,77,40,27,0,0,0,0,0.4681,0.3667,0.4681,0.4667,1,1,0.2568,0.1748,1.0468,0.6682,0,0,0,0,0,0,2.3333,3,11,10
14140,0,0,4,4,531,553,1,12,1,1,23,17,16,98,0,0,0,0,0.4737,0.4299,0.4737,0.4299,1,2,0.6321,0.026,0.1991,1.1213,0,0,0,0,0,0,0,3,8,7
14141,0,0,3,3,198,252,1,12,2,1,241,137,1,6,0,0,0,0,0,0.375,0,0.375,0,2,2.3659,0.6341,0.0309,0.2474,0,0,0,0,0,0,0,3,27,3
14142,-1,-1,4,4,384,500,1,12,1,1,7,44,34,21,0,0,0,0,0,0,0,0.3636,0,1,2.0999,0.6314,0.9353,0.5144,0,0,0,0,0,1,-1,3,3,13
14144,0,0,3,3,223,317,1,12,1,1,3,3,133,57,1,1,0,0,0.5629,0.4706,0.5629,0.5147,1,1,0.9989,0.4225,0.7736,0.3484,0,0,0,0,0,0,0,3,5,5
14398,0,0,1,3,52,188,1,10,1,-1,155,-1,85,69,0,1,0,0,0.46,0.5135,0.46,0.5135,1,2,0.0988,0.255,1.0672,0.7898,0,0,0,0,0,0,0,2,1,10
14399,0,-1,6,7,2334,4912,1,12,1,1,7,4,119,65,0,0,0,0,0.4894,0.3333,0.4894,0.4783,1,1,1.8789,2.0743,1.6637,0.8142,0,0,0,0,1,1,0,3,5,4
14456,-1,-1,4,4,627,677,1,10,10,-1,431,-1,9,15,0,1,0,0,0.5455,0.4706,0.5455,0.4706,1,2,0.2349,0.0186,0.2481,0.3835,0,0,0,0,0,1,0,2,10,6
14457,1,2,1,5,32,994,1,10,1,-1,17,-1,164,5,1,0,0,0,0.3333,0.3333,0.3333,0.6667,1,1,0.0991,2.9009,2.0323,0.0645,0,0,0,0,0,0,1,2,1,3
14458,1,1,1,7,41,3357,1,12,1,1,81,26,1,3,0,0,0,0,0,0.2857,0,0.2857,0,2,0.0372,2.9628,0.0224,0.1567,0,1,0,0,0,0,0.6667,3,5,3
14460,2,1,1,1,5,52,1,10,10,-1,724,-1,37,23,0,1,0,0,0.1628,0.3448,0.1628,0.3448,1,2,0.3354,2.6646,0.9485,0.6397,0,0,0,0,2,0,1.3333,2,10,3
